0,1,2,3,4
Particulars (Rs. crs),31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17
Interest Income,1169,998,573,371
Commission Income,37,15,4,4
Net gain on fair value changes,219,27,4,2
Others,11,4,6,1
Total Revenue from operations,1435,1043,587,377
Other income,34,5,0,2
Total Income,1470,1049,588,379
Finance cost,356,358,232,149
Impairment on financial instruments & others,"274""",45,-35,98
Employee benefit expenses,171,131,76,58
Depreciation and amortization expense,9,7,6,8
Other expenses,42,34,27,29
Total Expenses,851,575,305,344
Profit before exceptional items and tax,618,473,283,35
Exceptional items,0,0,0,11
Profit before tax,618,473,283,46
Income tax expense,267,162,95,-398
Profit for the period,352,312,188,443
