0,1,2,3
ASSETS (Rs. crs),"Jun 30, 2020","Mar 31, 2020","Jun 30, 2019"
Financial Assets,,,
Cash and cash equivalents,762.3,59.6,104.3
Bank Balances other than cash and cash equivalents,210.4,197.5,195.1
Trade Receivables,9.0,22.4,9.5
Loan Portfolio,4775.1,4852.4,4635.7
Investments,23,487.5,2.2
Other financial assets,289.4,290.5,73.1
Total Financial Assets,6048.5,5909.9,5019.9
Non-Financial Assets,,,
Current tax assets (net),15.3,15.3,8.9
Deferred tax assets (net),31.8,7.0,163.1
"Property, Plant and Equipment",15.1,15.2,17.6
Intangible assets,1.2,13,2.0
Goodwill,17.4,17.4,17.4
Other non-financial assets,8.1,11.2,16.2
Total Non-Financial Assets,88.9,67.4,225.1
Total Assets,6137.4,5977.3,5245.0
